Grade,Strand,"Anchor Standard",Code,Benchmark
3,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",3.3.5.6,"Represent and solve contextual situations involving multiplication, measurement division and partitive division with single-digit factors using visual models. (MP1, MP4) $ μ ☼"
3,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results..",3.3.5.7,"Multiply and divide within 144, using strategies such as equal groups, repeated addition, the relationship between multiplication and division or properties of operations. Develop fluency with facts of 2s, 5s, 10s and square products. (MP7)"
3,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",3.3.5.8,"Multiply one-digit whole numbers by multiples of 10 and 100 using strategies such as decomposition of factors of ten, place value language, repeated addition and properties of operations. (MP7, MP8) $ ☼"
3,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",3.3.5.9,"Partition a whole into halves, thirds, fourths and eighths. Wholes can be circles, rectangles and the distance between 0 and 1 on a number line. (MP4, MP6) ☼"
3,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",3.3.5.10,"Use pictures and symbols to represent non-unit fractions up to 2 as sums of unit fractions using halves, fourths, thirds and eighths. (MP8)"
3,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",3.3.5.11,"Generate equivalent forms of one-half and 1 using fractions with denominators of 2, 4 and 8 and justify why these forms are equivalent using a visual model. (MP2, MP3)"
3,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",3.3.5.12,"Compare and order unit fractions using visual models and describe how the size of the fraction changes as the denominator changes. (MP1, MP7) μ"
3,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",3.3.5.13,"Use addition and subtraction with estimated whole numbers to create short-term and long-term spending and saving goals based on planned and unplanned financial decisions. (MP2) $"
3,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",3.3.6.1,"Use relational thinking to find a missing value in an open number sentence with up to three-digit whole number addition and subtraction expressions. Determine if the equation is true or false. Justify your reasoning. (MP3) $ "
3,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",3.3.6.2,"Make conjectures and justifications about multiplication and division involving 0 and 1 with true/false and open number equations. (MP3)"
3,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",3.3.6.3,"Make conjectures and justifications using the commutative and associative properties of addition and multiplication with true/false and open number equations. (MP1, MP3) μ"
3,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",3.3.7.1,"Create, describe and apply single-operation input-output rules involving addition, subtraction and multiplication to solve situations in various contexts, including when x and y are 0. (MP7) ☼"
3,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",3.3.7.2,"Create the next two terms and the previous term in a visual pattern, growing or shrinking, and justify reasoning. (MP1, MP7) ✜ μ"
4,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",4.1.1.1,"Notice and describe patterns in data-rich situations or two given related data sets that are descriptive and comparative. Ask meaningful statistical questions that can be answered with data. (MP3, MP7) ✜"
4,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",4.1.1.2,"Collect and organize data to answer a statistical question, analyze variability and address missing, incomplete and bias in data. Represent data in a variety of ways, including technology. (MP1, MP5) #"
4,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",4.1.1.3,"Make predictions and recognize that how the data was collected impacts the reliability of predictions. (MP1, MP8)"
4,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",4.1.1.4,"Critically analyze data visualizations, including tables, double bar graphs, timelines, line plots or spreadsheets to support a claim and solve contextual situations. (MP3, MP7) $ # μ"
4,"Data and Probability","Chance and Uncertainty: Apply and explain the concepts of probability to interpret data, generate questions, predict and make informed decisions to solve problems and communicate ideas.",4.1.2.1,"Classify probability events involving dice, coins, spinners with equal and unequal partitions and blocks in a bag as impossible, certain, likely, unlikely and equally likely. (MP7)"
4,"Data and Probability","Chance and Uncertainty: Apply and explain the concepts of probability to interpret data, generate questions, predict and make informed decisions to solve problems and communicate ideas.",4.1.2.2,"Use a number line to connect the values of 0 to impossible, 1/2  to equally likely, and 1 to certain. Approximate locations on the number line where likely and unlikely would occur based on the situation. (MP3, MP4)"
4,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",4.2.3.1,"Classify angles as acute, right and obtuse by estimation, comparison with a right angle and by measurement. (MP6) ✜"
4,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",4.2.3.2,"Determine lengths to the nearest sixteenth of an inch when measuring with inches and to the nearest tenth of a centimeter when measuring in centimeters. (MP6, MP8)"
4,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",4.2.3.3,"Measure angles with a protractor. (MP5) ☼"
4,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",4.2.3.4,"Determine the perimeter and area of two-dimensional figures and label with appropriate units. (MP2, MP6) ✜ ☼"
4,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",4.2.3.5,"Find the areas of geometric figures that can be decomposed into rectangular shapes using tools like dot or grid paper. Label area measurements using square units. (MP2)"
4,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",4.2.3.6,"Explain why the area of a rectangle can be calculated by multiplying the length by the width and use the formula A = l ´ w to calculate the area of rectangles with whole number side lengths. (MP3)"
4,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",4.2.3.7,"Make change up to $20 with place values, using $ and ¢ symbols appropriately. (MP7) $"
4,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",4.2.4.1,"Draw points, line segments, rays, lines, angles and perpendicular and parallel lines. Identify these in two-dimensional figures. (MP5) ☼"
4,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",4.2.4.2,"Create representations of triangles given the relationships among the sides (scalene, isosceles, equilateral) and the angles (acute, right, obtuse). (MP1, MP6) ☼"
4,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",4.2.4.3,"Sort and classify quadrilaterals in a hierarchy, including squares, rectangles, trapezoids, rhombuses, parallelograms and kites. Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. (MP1, MP6) ✜ μ ☼"
4,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",4.2.4.4,"Create a representation and describe the front, top and side views of three-dimensional figures composed of cubes and rectangular prisms. (MP5)"
4,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",4.2.4.5,"Draw the nets of cubes. Recognize nets that will and will not form cubes. (MP1)"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.1,"Recognize that in a multi-digit whole number, a digit in one place represents 10 times what it represents in the place to its right. (MP7) $"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.2,"Compare and order whole numbers from 0 to 1,000,000 with place value understanding, number lines and other tools using >, = and < symbols to record the results of comparisons. (MP4) $"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.3,"Estimate sums and differences, within 1,000,000, using strategies based on place value, approximation and properties of operations. (MP3) ✜ $ ☼"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.4,"Estimate products and quotients of multi-digit whole numbers by using simple multiplicative relationships, approximation and place value to assess the reasonableness of results. (MP1) $ ☼"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.5,"Fluently multiply two numbers from 0 to 12 using flexible strategies based on the associative, commutative and distributive properties of multiplication. (MP6, MP7)"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.6,"Use place value language to describe how to multiply a number by 10, 100 and 1,000. (MP7)"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.7,"Flexibly decompose numbers into addends or factors to multiply two two-digit numbers and multiply a one-digit number, by up to a four-digit number. Justify the strategy using equations, rectangular arrays and area models. (MP2, MP7) μ"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.8,"Solve contextual situations using division with dividends up to the thousands place and using one-digit divisors. Strategies may include using visual models, partial quotients, the commutative, associative and distributive properties and repeated subtraction. (MP7, MP8) $ μ"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.9,"Solve multi-step contextual situations requiring the use of addition, subtraction and multiplication of multi-digit whole numbers. Use various strategies, including the relationship between operations, the use of technology and the context of the situation to assess the reasonableness of results. (MP4, MP7) ✜ $ "
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.10,"Read, write, represent and plot on a number line fractional values between 0 and 3, including mixed numbers and fractions greater than 1 with denominators of 2, 3, 4, 5, 6, 8, 10 and 12. Express whole numbers as fractions and recognize fractions that are equivalent to whole numbers. (MP6)"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.11,"Explain why a fraction a/b is equivalent to the product a ´ 1/b using visual models and language. (MP2)"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.12,"Explain why a fraction a/b is equivalent to a fraction (n ´ a)/(n ´ b) by using visual models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions. (MP3)"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.13,"Compare and order fractions between 0 and 3 and justify reasoning using pictures, position on a number line and selecting, when appropriate, among strategies such as using a common numerator, referencing a benchmark and using a common denominator. (MP3) μ"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.14,"Recognize the relationship between decimals and fractions. Read and write decimals and fractions in both decimal and fraction notations using words, symbols and expanded form. Recall the fraction and decimal equivalent forms of one-half, one-quarter and three-quarters. (MP7) $"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.15,"Compare and order decimal values to the hundredths and justify using place value language, a number line and models such as dimes, pennies, 10 ´ 10 grids and base 10 blocks. Use place value concepts to name and model equivalent forms of decimal values. (MP4) $"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.16,"Use visual models to add and subtract fractions with denominators of 2, 4 and 8 with results up to 2. (MP4)"
4,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",4.3.5.17,"Use the four operations to make financial decisions based on income, spending, saving, credit and charitable giving. (MP1) $"
4,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",4.3.6.1,"Use relational thinking to find a missing value in an open number sentence with multi-digit whole number multiplication and division expressions. Determine if the equation is true or false and justify your reasoning. (MP3) $"
4,"Patterns and Relationships","Equivalence and Relational Thinking: Use concepts and properties of equivalence and relational thinking to represent and compare numerical expressions, proportional relationships, algebraic expressions and equations.",4.3.6.2,"Make conjectures and justifications using the distributive property to justify multi-digit multiplication with true/false and open number equations. (MP3) "
4,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",4.3.7.1,"Develop an explicit rule that generalizes a visual pattern relating the figure number with the number of items in that figure. Use the rule to find the number of items in figure n. (MP7) μ"
4,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",4.3.7.2,"Use words to write a rule for multiplicative patterns and solve contextual situations. Compare and contrast patterns or rules that are additive and multiplicative, using a variety of strategies including tables, drawings and algebraic equations with a symbol for the unknown number to represent the situation. (MP7, MP8) $ ☼"
4,"Patterns and Relationships","Patterns and Relationships: Represent and connect mathematical patterns and relationships using verbal descriptions, generalizations, tables and graphs. Use representations to generate questions, make predictions and solve mathematical problems.",4.3.7.3,"Generate a number or shape pattern that follows a given descriptive rule. Identify and explain apparent features of the pattern that were not explicit in the rule itself. (MP1, MP3) $ ☼"
5,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",5.1.1.1,"Notice and describe patterns in data-rich situations or given related data sets that are descriptive and comparative. Ask meaningful statistical questions that can be answered with data. (MP7) ✜"
5,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",5.1.1.2,"Compare and contrast between qualitative and quantitative data. (MP3, MP6) ✜"
5,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",5.1.1.3,"Collect and organize data to answer statistical questions and analyze measures of center (mean and median) and variability (range). Represent data in a variety of ways, including technology. (MP5) # μ"
5,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",5.1.1.4,"Critically analyze data visualizations using measures of center and variability, including but not limited to double-bar graphs, line graphs and line plots to support a claim and solve situations. (MP3, MP7) $ #"
5,"Data and Probability","Data Sciences: Identify, formulate and investigate statistical questions by collecting data considering cultural perspectives, analyzing and interpreting data and communicating the results.",5.1.1.5,"Compare and contrast different data displays to determine how the visualizations impact analysis and interpretation. (MP3, MP8) #"
5,"Data and Probability","Chance and Uncertainty: Apply and explain the concepts of probability to interpret data, generate questions, predict and make informed decisions to solve problems and communicate ideas.",5.1.2.1,"List outcomes from a probability experiment in a frequency table. (MP4) ☼"
5,"Data and Probability","Chance and Uncertainty: Apply and explain the concepts of probability to interpret data, generate questions, predict and make informed decisions to solve problems and communicate ideas.",5.1.2.2,"Use a frequency table to record results from an experiment to make predictions. Place predictions on a number line from 0 to 1. (MP4) # ☼"
5,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",5.2.3.1,"Develop, justify and use formulas to determine the area of parallelograms and triangles. Find the areas of polygons that can be decomposed into parallelograms and triangles. (MP3) # μ"
5,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",5.2.3.2,"Estimate the area of two-dimensional shapes, both polygons and non-polygons, using tools such as dot or grid paper. (MP1, MP5)"
5,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",5.2.3.3,"Use unit cubes to measure volume. Describe a unit cube as a cube with side length 1 unit that is said to have “one cubic unit” of volume and can be used to measure volume. (MP5, MP6)"
5,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",5.2.3.4,"Use various strategies to measure the volume and surface area of three-dimensional shapes made of a collection of unit cubes. (MP5, MP6) ✜ ☼"
5,"Spatial Reasoning","Measurement: Investigate measurement using a variety of tools, units, systems, processes and techniques in various cultures. Explain and reason with attributes, estimations and formulas to communicate measurement(s) and relationships effectively. Justify decisions and consider the reasonableness of the measurement.",5.2.3.5,"Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes. Show that the volume is the same by unit cubes as by multiplying the edge lengths (l × w × h) or by multiplying the height by the area of the base. (MP3, MP8) ☼"
5,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",5.2.4.1,"Classify and describe prisms and pyramids by their defining attributes and the number of edges, faces, vertices and bases. (MP1, MP6) ✜ ☼"
5,"Spatial Reasoning","Geometry: Analyze characteristics of geometric shapes to make mathematical arguments and justifications about geometric relationships. Use visualization and geometric modeling to compare, solve problems and communicate ideas.",5.2.4.2,"Recognize, draw and compare different nets for prisms, pyramids, cylinders and cones. (MP1)"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.1,"Multiply two multi-digit numbers using an efficient strategy. Strategies include decomposing factors into factors, decomposing factors into sums or using an area model. Justify the chosen strategy using properties of operations and place value. (MP1, MP7) μ"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.2,"Divide multi-digit numbers by a one-digit or two-digit divisor using efficient and generalizable procedures based on knowledge of place value and the properties of operations that may include partial quotients and standard algorithms. Recognize that quotients can be represented in a variety of ways, including a whole number with a remainder, a fraction, a mixed number or a decimal. (MP7)"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.3,"Consider the context of a problem involving division to select the most useful form of the quotient and the remainder. (MP2) $ ☼"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results..",5.3.5.4,"Solve multi-step contextual situations requiring addition, subtraction, multiplication and division of multi-digit whole numbers. Use various strategies including the inverse relationships between operations, the use of technology and the context of the situation to assess the reasonableness of results. (MP4) ✜ $ ☼"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.5,"Generate equivalent fractions of the forms a/b =  (n ´ a)/(n ´ b) and  a/b = (a ÷ n)/(b ÷ n) and justify relationships using visual models. (MP3) μ"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.6,"Given a value, mentally find 0.1 more or 0.1 less, 0.01 more or 0.01 less and 0.001 more or 0.001 less than the number. Justify reasoning by referencing a visual model. (MP2, MP3) $"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.7,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and  1/10 of what it represents in the place to its left. (MP2, MP7) $"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.8,"Recognize and flexibly generate equivalences between fractions and decimals to the thousandths place and justify using visual models, place value language and symbols. (MP3, MP7) $"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.9,"Compare and order decimal values to the thousandths. Justify using place value language and visual models. (MP3, MP4) $"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.10,"Estimate sums and differences of fractions and mixed numbers to the nearest half. Justify reasoning using benchmarks. (MP3)"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.11,"Fluently add and subtract fractions with unlike denominators (including mixed numbers) and justify using equivalent fractions, visual models and the number line. (MP3) μ"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.12,"Estimate sums and differences of decimals. (MP2) $"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.13,"Solve contextual situations using addition and subtraction of positive rational numbers represented as fractions (including mixed numbers) or decimals using visual models, equations and properties of operations. (MP4) ✜ $ ☼"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.14,"Represent multiplication of a whole number of fractional groups, n ´ a/b, using visual models, including a number line, and explain how the picture shows the product. (MP3) $"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.15,"Represent contextual multiplication situations of a fractional amount of a whole number amount, a/b  of a group of n, using visual models, including a number line, and explain how the picture shows the product. (MP3) $"
5,"Patterns and Relationships","Number Relationships: Describe, Interpret and use quantities, relationships between quantities, representations of quantities, and number systems. Describe operations and the relationship between operations. Use strategies and procedures accurately, efficiently and flexibly. Assess the reasonableness of the results.",5.3.5.16,"Represent contextual measurement situations using division of the form n ÷ (a/b) where n is the total and a/b is the amount per group. Use a visual model and explain how the picture shows the number of groups. (MP3) $"
